Category,Question,Answer,Keywords
Career & Background,Walk me through Noah's career so far.,"Noah began his sales career in gyms in his early twenties, building communication and persuasion skills. He then moved into Residential Real Estate and logistics before joining Tesla in November 2024 as a Sales Advisor with the goal of pivoting into a tech-focused role. In parallel, he pursued Mixed Martial Arts and is a veteran of 10 cage fights. Today he combines business context from sales with growing software skills to build AI-powered solutions.","career, sales, Tesla, real estate, logistics, MMA"
Career & Background,Why did Noah transition from sales to software/AI?,"Noah's curiosity for AI started in 2017 at UNLV after watching AlphaZero vs Stockfish. He noticed AlphaZero valued activity and long‑term initiative over simple material count, which reframed how he thought about decision making. In August 2024 he decided to learn to code rather than only consume content on screens. One month later he chose sales at a tech company (Tesla) as a bridge role and has since deepened his technical skills while meeting with project managers to explore Generative AI use cases that improve internal efficiency and customer experience.","motivation, alphazero, stockfish, transition, AI"
Career & Background,What is the biggest project Noah has worked on?,"Noah created a professional knowledge‑base chatbot that answers questions about his background, skills, and projects. He has also collaborated with project managers to discuss Generative AI initiatives at Tesla, focusing on workflow improvements and customer experience—without representing that he built internal Tesla systems.","project, chatbot, knowledge base, PM collaboration"
Skills & Knowledge,What technical skills does Noah have?,"Programming & Development: Python (intermediate), basic front‑end (HTML/CSS/JS), Git/GitHub.
AI & Data Tools: RAG, LangChain, vector databases (FAISS, Pinecone), embeddings, basic deployment, Pandas/Matplotlib.
Software & Productivity: SQL, Excel/Google Sheets (advanced formulas, pivot tables), CRM tools, project management platforms.
AI Coding Assistants: Uses GitHub Copilot and Claude Code to accelerate tasks while understanding limitations of context and reasoning.
Other: Virtual environments, working with REST APIs, rapid prototyping of automation/AI tools.","python, langchain, faiss, pinecone, sql, copilot"
Skills & Knowledge,How strong is Noah's Python?,"Intermediate. He is comfortable with Pandas and Matplotlib, calling APIs, and building small automation pipelines. He applies Python daily on personal projects (e.g., call‑summary prototype, portfolio chatbot) and is progressing quickly toward advanced topics.","python level, pandas, matplotlib, apis, automation"
Skills & Knowledge,What AI projects has Noah built?,"1) This portfolio chatbot with a private knowledge base. 
2) A prototype pipeline that uses speech‑to‑text plus an LLM to draft call summaries and next‑step suggestions for sales workflows (personal project; not branded as a Tesla internal tool).","projects, chatbot, stt, llm, summarization"
Skills & Knowledge,Does Noah have experience with LangChain and RAG?,"Yes. He has hands‑on experience wiring a Retrieval‑Augmented Generation (RAG) stack using LangChain, OpenAI embeddings, and FAISS/Pinecone. Typical flow: load CSV knowledge, embed, store to FAISS, retrieve top‑k per query, and prompt the LLM with the retrieved context for grounded answers.","langchain, RAG, faiss, embeddings"
Problem Solving & Results,Tell me about a time Noah solved a problem no one else could.,"[Add STAR story here: Situation, Task, Action, Result. Example placeholder: An inbound lead triage process was inconsistent; Noah proposed a lightweight scoring rubric and a follow‑up automation prototype, which improved response times and conversion rates. Replace with a real example.]","STAR, problem solving, impact"
Problem Solving & Results,How did Noah use AI to improve sales workflows?,"He explored STT+LLM summarization to reduce manual note‑taking and improve follow‑up accuracy. The prototype turns long calls into concise bullet points and suggested next steps, saving time for advisors and improving CRM hygiene.","sales, summarization, workflow, productivity"
Problem Solving & Results,What metrics did Noah impact at Tesla?,"Noah consistently performed strongly as a closer and focused on quality customer interactions. Where AI prototypes were used personally, the aim was time saved per call and clearer follow‑ups; exact enterprise‑wide metrics are not claimed.","metrics, sales performance, time saved"
Collaboration & Soft Skills,How does Noah work with product managers or engineers?,"He acts as a translator between business needs and technical implementation. He meets with project managers to discuss generative‑AI use cases, surfaces frontline constraints from sales, and helps evaluate feasibility and success criteria.","collaboration, PM, requirements"
Collaboration & Soft Skills,What role does Noah usually play in a team project?,"A bridge role: aligns non‑technical stakeholders and engineers, clarifies requirements, and focuses on measurable business outcomes while contributing hands‑on prototypes.","teamwork, bridge, alignment"
Collaboration & Soft Skills,How does Noah explain technical ideas to non‑technical people?,He decomposes concepts into recognizable parts and uses analogies. Example: a call summarizer = a transcript generator (speech‑to‑text) plus an AI writer that condenses key points into next‑step bullets.,"communication, analogy, explain"
Career Goals & Motivation,Why does Noah want to transition into software/AI?,He has seen how AI changes decision‑making and productivity. He wants to combine domain knowledge from sales with engineering skills to build tools that improve customer experience and team efficiency.,"motivation, transition, productivity"
Career Goals & Motivation,What does Noah see himself doing in 3 years?,A software/AI engineer focused on building and deploying retrieval‑augmented assistants and analytics features that directly move business metrics in customer‑facing teams.,"career goal, 3 years, AI engineer"
Career Goals & Motivation,Why hire Noah over another candidate with a CS degree?,"He pairs practical sales experience with growing technical capability, which helps him prioritize problems that matter, translate requirements, and deliver grounded, explainable solutions—skills that are critical in real enterprise deployments.","differentiator, business impact, translation"
Career Goals & Motivation,What excites Noah most about working here?,"Opportunities to ship useful AI features quickly, learn from strong engineering teams, and measure results against real KPIs such as time‑to‑resolution, adoption, and customer satisfaction.","excitement, KPIs, impact"
Tech Stack,What UI/runtime is used for a quick demo interface?,"Streamlit provides a lightweight UI with forms, sidebar diagnostics, and simple layout for headshot and buttons. It runs on Python 3.13 in this project template.","streamlit, ui, python 3.13"
Tech Stack,What is the core framework for orchestration?,"LangChain acts as the orchestration layer for loading data, chunking, embeddings, vector store management, and the RetrievalQA chain.","langchain, orchestration"
Tech Stack,How is the data layer organized?,A CSV (noah_portfolio.csv) is the authoritative source of background knowledge. FAISS stores embeddings on disk (faiss_index/) for fast nearest‑neighbor retrieval with low operational overhead.,"csv, faiss, index"
Tech Stack,Which models are used and why?,"OpenAIEmbeddings (e.g., text-embedding-3-small) convert chunks and queries into vectors with good quality‑to‑cost ratio. ChatOpenAI (e.g., GPT‑4 class per config) generates grounded answers from retrieved context, with low temperature for determinism.","openai, embeddings, chatopenai"
Tech Stack,What does the RAG retrieval flow look like?,"(First run) Create/refresh index → CSV rows to documents → embed → store in FAISS. 
Query time → embed question → FAISS similarity search (top‑k with score threshold) → compose prompt with retrieved context → ChatOpenAI → answer + sources.","RAG, flow, similarity search"
Tech Stack,How is configuration and secrets management handled?,"config.py centralizes paths, model names, temperature, top‑k, and thresholds. OPENAI_API_KEY is loaded from Streamlit Secrets or environment variables and only initialized when needed (lazy singletons).","config, secrets, env"
Tech Stack,What helper utilities exist?,"langchain_helper.py provides lazy singletons for LLM and embeddings, a function to create or refresh the FAISS index, a quick existence check, a controlled prompt builder, and a get_qa_chain() that wires RetrievalQA and returns source docs for transparency.","helpers, singletons, retrievalqa"
Tech Stack,How is performance handled?,Caching: Streamlit @st.cache_resource caches the chain after first construction. The app avoids re‑embedding unless the index is rebuilt. Lazy model initialization prevents cold starts when simply loading the page.,"caching, performance, streamlit"
